Company,CTO_Name,LinkedIn,Email,Product_Type,Score,Value_Proposition,Notes
Solflare,"Vidor Gencel (Founder & CEO)",https://www.linkedin.com/in/vidorgencel,support@solflare.com,Solana Wallet,7,"First Solana wallet, $15B+ managed",Computer Science PhD candidate; Blockchain Architect; technical founder since 2010
Jupiter,"Meow (Founder) & Ben Chow (Co-founder)",https://twitter.com/weremeow,contact@jup.ag,DEX Aggregator,10,"80%+ Solana DEX volume routed through Jupiter",Pseudonymous but deeply technical developers; built aggregation infrastructure
Solana Labs,"Greg Fitzgerald (CTO)",https://www.linkedin.com/in/gkfitz,contact@solana.org,Base Layer Protocol,10,"The Solana protocol creators, CTO who co-invented Solana",Co-invented Solana with Anatoly; MUST-HAVE for flagship episodes
Marinade Finance,"Lucio Tato (CTO)",https://www.linkedin.com/in/luciotato,contact@marinade.finance,Liquid Staking,8,"Largest Solana staking protocol, named in US ETF filing",CTO driving staking infrastructure; smart contract expertise
Squads Protocol,"Sean Ganser (Technical Lead & Co-founder)",https://www.linkedin.com/in/seangangser,hello@squads.so,Multisig/Smart Wallet,8,"Standard multisig on Solana, secured $15B+ in assets",Technical co-founder; leads smart contract development; formally verified programs
Neon Labs,"Andrey Falaleev (CTO & Co-founder)",https://www.linkedin.com/in/andreyvfalaleev,contact@neonevm.org,EVM on Solana,7,"First EVM mainnet on Solana, $40M funding",CTO with deep EVM/Solana bridge expertise; spoke at Breakpoint
GenesysGo,"Frank Mathis (CEO)",https://twitter.com/GenesysGo,contact@genesysgo.com,Decentralized Storage,8,"Shadow Drive - decentralized storage for Solana",Technical founder; Solana Mobile partnership; storage infrastructure expertise
Hello Moon,"Walker Guffey (Founder)",https://www.linkedin.com/company/hello-moon,contact@hellomoon.io,Solana Data/Analytics,7,"Comprehensive Solana data APIs and analytics",Technical founder; developer-focused data platform
Drift Protocol,"David Lu (Co-founder)",https://www.linkedin.com/in/david-lu,contact@drift.trade,Perpetuals DEX,8,"Largest perps DEX on Solana, $25M Series B",Co-founder with TradFi engineering background; built perpetuals infrastructure
Wormhole Foundation,"Tony Jin (CTO, Wormhole Labs)",https://www.linkedin.com/in/tonyxjin,contact@wormhole.com,Cross-chain Bridge,8,"Leading cross-chain protocol, multi-billion $ transferred",Ex-Jump Crypto CTO; leads core protocol development; deep cross-chain expertise
LayerZero Labs,"Ryan Zarick (CTO & Co-founder)",https://www.linkedin.com/in/ryanzarick,hello@layerzero.network,Omnichain Protocol,9,"$3B valuation, universal messaging across chains",CTO and inventor of LayerZero protocol; deep technical builder
Raydium,"AlphaRay (Technical Co-founder)",https://twitter.com/RaydiumProtocol,contact@raydium.io,AMM/DEX,7,"First AMM on Solana, Serum orderbook integration",Pseudonymous but technical; algorithmic trading and low-latency systems background
Orca,"Yutaro Mori (Technical Co-founder)",https://www.linkedin.com/in/yutaromori,contact@orca.so,AMM/DEX,8,"User-friendly Solana DEX, Whirlpools concentrated liquidity",Engineer lead; wrote production smart contracts for Ethereum and Solana
Ironforge,"Italo Casas (CEO)",https://www.linkedin.com/in/italoacasas,hello@ironforge.cloud,Solana Dev Platform,7,"Serverless Solana development tools",Developer-focused CEO; building web2-like Solana experience
Metaplex,"Stephen Hess (CEO)",https://www.linkedin.com/in/stephennhess,contact@metaplex.com,NFT Standard/Tools,9,"THE NFT standard on Solana, Core protocol",Ex-Solana Labs product chief; Stanford alum; deep protocol knowledge
Ellipsis Labs,"Eugene Chen (Co-founder)",https://www.linkedin.com/in/eugene-chen-a4940880,contact@ellipsislabs.xyz,Phoenix DEX/Order Book,8,"Leading order book DEX on Solana, $70B+ traded",HFT background; met co-founder Jarry Xiao in middle school; deep technical expertise
Solend,"Rooter (Founder)",https://twitter.com/solaboratory,contact@solend.fi,Lending Protocol,7,"Leading Solana lending protocol, $200M+ TVL",Pseudonymous technical founder; DeFi protocol expertise
Kamino Finance,"Rodrigo Perenha (CTO)",https://www.linkedin.com/company/kaminofinance,contact@kamino.finance,DeFi/Liquidity,8,"Top DeFi protocol on Solana, advanced yield strategies",CTO with DeFi smart contract expertise; Hubble Protocol heritage
Firedancer (Jump Trading),"Kevin Bowers (Chief Scientist)",https://www.linkedin.com/in/kevin-bowers,contact@jump.com,Validator Client,10,"Second Solana validator client, 1M+ TPS demonstrated",Chief Scientist with systems engineering background; game-changing scaling work
Light Protocol,"Jorrit Palfner (Co-founder)",https://www.linkedin.com/in/jorritpalfner,contact@lightprotocol.com,ZK Compression,9,"Revolutionary scaling via ZK compression on Solana",Technical co-founder; ZK/cryptography expertise; cutting-edge protocol
Switchboard,"Chris Hermida (Co-founder)",https://www.linkedin.com/in/chris-hermida,contact@switchboard.xyz,Oracle Network,7,"Decentralized oracle for Solana, Jito restaking",Ex-Circle trading desk; technical founder with oracle expertise
Tensor,"Richard Wu (CTO)",https://www.linkedin.com/in/rwu1997,contact@tensor.trade,NFT Marketplace,8,"Pro-trader focused NFT exchange, fully open-sourced",CTO with technical trading background; Y Combinator co-founder matching
Streamflow,"Malisha (Founder)",https://www.linkedin.com/company/streamflow-finance,hello@streamflow.finance,Token Vesting/Payroll,6,"Token distribution platform, official Solana docs listing",Technical founder; Jump Capital backed
Birdeye.so,"Kha Nguyen (Founder)",https://www.linkedin.com/company/birdeye-so,contact@birdeye.so,DEX Analytics,7,"Leading Solana token analytics, 200+ DEX integrations",Technical founder; real-time on-chain data infrastructure
Shyft,"Team (API Infrastructure)",https://shyft.to,contact@shyft.to,Solana APIs/gRPC,7,"gRPC nodes and SuperIndexers for Solana",Strong DevEx focus; technical infrastructure team
Sec3,"Team (Security Engineering)",https://sec3.dev,contact@sec3.dev,Security Audits,7,"Automated security scanning for Solana",X-ray product; AI-powered auditing; security engineering focus
Crossmint,"Rodri Fernández (Co-founder)",https://crossmint.com,contact@crossmint.com,NFT APIs/Infrastructure,8,"Enterprise NFT APIs, fiat onramps",Engineer by training; Stanford/Harvard dropout; a16z backed
DeBridge,"Alex Smirnov (Co-founder)",https://debridge.finance,contact@debridge.finance,Cross-chain Bridge,7,"High-speed cross-chain transfers",Mathematician, researcher, and developer; technical protocol designer
Realms,"Team (DAO Tooling)",https://realms.today,contact@realms.today,DAO Governance,6,"Official Solana DAO governance platform",SPL Governance; technical governance infrastructure
Nosana,"Sjoerd Dijkstra (CEO)",https://nosana.io,contact@nosana.io,Decentralized Compute,6,"GPU compute network on Solana",Technical founder; AI/ML workloads on Solana
Underdog Protocol,"Kevin Ludek (Founder)",https://underdogprotocol.com,contact@underdogprotocol.com,NFT API,6,"Simplified NFT minting API for Solana",Technical founder; compression support
Tiplink,"Team",https://tiplink.io,contact@tiplink.io,Payment Links,6,"Send crypto via links, no wallet needed",Technical team; simple UX infrastructure
