Priority,Name,Company,Role,Category,Score,Priority_Score,LinkedIn_Twitter,Email_Pattern,Value_Proposition,Jan_2026_Timing,Research_Category
11,David Lu,Drift,Co-founder,Perps,8,10.0,https://iq.wiki/wiki/david-lu,contact@drift.{'com'|'io'|'xyz'},"TradFi engineering background, angel investor",Co-founder with Cindy Leow,defi
12,Sidney Zhang,Magic Eden,CTO,NFT,9,10.0,https://tracxn.com/d/companies/magic-eden,contact@magiceden.{'com'|'io'|'xyz'},"Ex-UberEats, $1.6B valuation, multi-chain NFT leader",Multi-chain expansion,consumer
13,FP Lee,Sanctum,Founder,Staking,9,9.0,https://twitter.com/fp_lee_,contact@sanctum.{'com'|'io'|'xyz'},"OG since 2021, infinite-LST architecture, deep expertise",Staking infrastructure momentum,defi
14,Eugene Chen,Ellipsis Labs,Co-founder,DEX,9,9.0,https://www.linkedin.com/in/eugene-chen-a4940880,contact@ellipsislabs.{'com'|'io'|'xyz'},"HFT background, $20M Paradigm, Phoenix orderbook + Atlas blockchain",Orderbook innovation,defi
15,Marius Ciubotariu,Kamino,Co-founder,DeFi,9,9.0,https://www.linkedin.com/company/kaminofinance,contact@kamino.{'com'|'io'|'xyz'},"Built largest Solana lending protocol, Hubble heritage",DeFi yield strategies growth,defi
16,Jules Urbach,Render/OTOY,Founder,DePIN,9,9.0,https://www.linkedin.com/in/julesurbach,contact@renderotoy.{'com'|'io'|'xyz'},"Graphics legend since 2009, GPU compute network",AI compute demand surge,consumer
17,Vidor Gencel,Solflare,Founder/CEO,Wallet,8,9.0,https://www.linkedin.com/in/vidorgencel,contact@solflare.{'com'|'io'|'xyz'},"CS PhD candidate, Blockchain Architect, first Solana wallet",OG Solana wallet,consumer
18,Brian Long,Triton One,Co-founder,RPC,8,8.0,https://www.linkedin.com/company/triton-one,contact@tritonone.{'com'|'io'|'xyz'},"validators.app operator, early Solana validator, deep technical",Post-FTX infrastructure leader,infrastructure
19,Amer Matar,QuickNode,CTO,RPC,8,8.0,https://www.linkedin.com/in/amer-matar,contact@quicknode.{'com'|'io'|'xyz'},"YC backed, 70+ chains, enterprise adoption",Multi-chain expansion,infrastructure
20,Stanley Wu,Ankr,CTO,Infrastructure,8,8.0,https://www.linkedin.com/in/stanley-w-5714a4163,contact@ankr.{'com'|'io'|'xyz'},"Ex-AWS engineer, 70+ chain support, decentralized nodes",Enterprise infrastructure,infrastructure
21,AlphaRay,Raydium,Technical Co-founder,AMM,8,8.0,Pseudonymous,contact@raydium.{'com'|'io'|'xyz'},"Pseudonymous, algorithmic trading background, first AMM on Solana",Serum integration leader,defi
22,Yutaro Mori,Orca,Technical Co-founder,AMM,8,8.0,https://www.linkedin.com/in/yutaromori,contact@orca.{'com'|'io'|'xyz'},"Engineer lead, wrote smart contracts, Whirlpools concentrated liquidity",User-friendly DEX growth,defi
23,Frank Mathis,GenesysGo,CEO,DePIN,8,8.0,https://twitter.com/GenesysGo,contact@genesysgo.{'com'|'io'|'xyz'},"Shadow Drive creator, Solana Mobile partnership, storage infra",Decentralized storage growth,consumer
