Priority,Company,CTO_Name,LinkedIn,Email,Product_Type,Score,Value_Proposition,Notes
15,Wormhole Foundation,"Tony Jin (CTO, Wormhole Labs)",https://www.linkedin.com/in/tonyxjin,contact@wormhole.com,Cross-chain Bridge,8,"Leading cross-chain protocol, multi-billion $ transferred",Ex-Jump Crypto CTO; leads core protocol development; deep cross-chain expertise
16,Tensor,Richard Wu (CTO),https://www.linkedin.com/in/rwu1997,contact@tensor.trade,NFT Marketplace,8,"Pro-trader focused NFT exchange, fully open-sourced",CTO with technical trading background; Y Combinator co-founder matching
17,Crossmint,Rodri Fernández (Co-founder),https://crossmint.com,contact@crossmint.com,NFT APIs/Infrastructure,8,"Enterprise NFT APIs, fiat onramps",Engineer by training; Stanford/Harvard dropout; a16z backed
18,Moralis,Filip Martinsson (CTO),https://www.linkedin.com/in/filipmartinsson,support@moralis.io,Web3 APIs/SDKs,8,"Popular web3 development platform, strong educational content",CTO driving technical architecture; pairs well with Ivan's educational content
19,Infura (ConsenSys),E.G. Galano (Co-founder & Chief Infrastructure Engineer),https://www.linkedin.com/in/egalano,support@infura.io,Ethereum/Multi-chain RPC,8,"Part of ConsenSys, powers MetaMask",Technical co-founder; Chief Infrastructure Engineer; OG Web3 infrastructure builder
20,Chainstack,Eugene Aseev (CTO),https://www.linkedin.com/in/easeev,sales@chainstack.com,Multi-chain Nodes,7,"Strong Solana support, enterprise-focused",Ex-Acronis VP Engineering; CTO with enterprise infrastructure background
21,Triton One,Brian Long (Co-founder),https://www.linkedin.com/company/triton-one,contact@triton.one,Solana RPC Pool,8,"Core Solana RPC provider, Yellowstone project",Runs validators.app; early Solana validator; deep validator/node technical expertise
22,Syndica,Danial Abbasi (CTO),https://www.linkedin.com/in/danialabbasi,contact@syndica.io,Solana RPC Infrastructure,8,"Backed by Social Capital, Solana-focused cloud",CTO with infrastructure focus; building Solana-native cloud platform
23,The Graph,Brandon Ramirez (Research Director),https://www.linkedin.com/in/bgramirez,info@thegraph.com,Blockchain Indexing,8,"Decentralized indexing protocol, multi-chain",Edge & Node core contributor; deep technical knowledge of indexing infrastructure
24,Magic Eden,Sidney Zhang (CTO),https://www.linkedin.com/in/sidneyzhang,hello@magiceden.io,NFT Marketplace,8,"#1 NFT marketplace on Solana, expanded to multi-chain",CTO driving marketplace infrastructure; multi-chain technical architecture
25,Dialect,Chris Osborn (CEO & Co-founder),https://www.linkedin.com/in/cbosborn,hello@dialect.to,On-chain Messaging,7,Smart messaging protocol for Solana dApps,Physics PhD; Y Combinator alumni; technical founder with deep protocol expertise
26,Marinade Finance,Lucio Tato (CTO),https://www.linkedin.com/in/luciotato,contact@marinade.finance,Liquid Staking,8,"Largest Solana staking protocol, named in US ETF filing",CTO driving staking infrastructure; smart contract expertise
27,Squads Protocol,Sean Ganser (Technical Lead & Co-founder),https://www.linkedin.com/in/seangangser,hello@squads.so,Multisig/Smart Wallet,8,"Standard multisig on Solana, secured $15B+ in assets",Technical co-founder; leads smart contract development; formally verified programs
28,GenesysGo,Frank Mathis (CEO),https://twitter.com/GenesysGo,contact@genesysgo.com,Decentralized Storage,8,Shadow Drive - decentralized storage for Solana,Technical founder; Solana Mobile partnership; storage infrastructure expertise
29,Drift Protocol,David Lu (Co-founder),https://www.linkedin.com/in/david-lu,contact@drift.trade,Perpetuals DEX,8,"Largest perps DEX on Solana, $25M Series B",Co-founder with TradFi engineering background; built perpetuals infrastructure
30,Orca,Yutaro Mori (Technical Co-founder),https://www.linkedin.com/in/yutaromori,contact@orca.so,AMM/DEX,8,"User-friendly Solana DEX, Whirlpools concentrated liquidity",Engineer lead; wrote production smart contracts for Ethereum and Solana
31,Ellipsis Labs,Eugene Chen (Co-founder),https://www.linkedin.com/in/eugene-chen-a4940880,contact@ellipsislabs.xyz,Phoenix DEX/Order Book,8,"Leading order book DEX on Solana, $70B+ traded",HFT background; met co-founder Jarry Xiao in middle school; deep technical expertise
32,Kamino Finance,Rodrigo Perenha (CTO),https://www.linkedin.com/company/kaminofinance,contact@kamino.finance,DeFi/Liquidity,8,"Top DeFi protocol on Solana, advanced yield strategies",CTO with DeFi smart contract expertise; Hubble Protocol heritage
33,Underdog Protocol,Kevin Ludek (Founder),https://underdogprotocol.com,contact@underdogprotocol.com,NFT API,6,Simplified NFT minting API for Solana,Technical founder; compression support
34,Solflare,Vidor Gencel (Founder & CEO),https://www.linkedin.com/in/vidorgencel,support@solflare.com,Solana Wallet,7,"First Solana wallet, $15B+ managed",Computer Science PhD candidate; Blockchain Architect; technical founder since 2010
35,Neon Labs,Andrey Falaleev (CTO & Co-founder),https://www.linkedin.com/in/andreyvfalaleev,contact@neonevm.org,EVM on Solana,7,"First EVM mainnet on Solana, $40M funding",CTO with deep EVM/Solana bridge expertise; spoke at Breakpoint
36,Hello Moon,Walker Guffey (Founder),https://www.linkedin.com/company/hello-moon,contact@hellomoon.io,Solana Data/Analytics,7,Comprehensive Solana data APIs and analytics,Technical founder; developer-focused data platform
37,Raydium,AlphaRay (Technical Co-founder),https://twitter.com/RaydiumProtocol,contact@raydium.io,AMM/DEX,7,"First AMM on Solana, Serum orderbook integration",Pseudonymous but technical; algorithmic trading and low-latency systems background
38,Ironforge,Italo Casas (CEO),https://www.linkedin.com/in/italoacasas,hello@ironforge.cloud,Solana Dev Platform,7,Serverless Solana development tools,Developer-focused CEO; building web2-like Solana experience
39,Solend,Rooter (Founder),https://twitter.com/solaboratory,contact@solend.fi,Lending Protocol,7,"Leading Solana lending protocol, $200M+ TVL",Pseudonymous technical founder; DeFi protocol expertise
40,Birdeye.so,Kha Nguyen (Founder),https://www.linkedin.com/company/birdeye-so,contact@birdeye.so,DEX Analytics,7,"Leading Solana token analytics, 200+ DEX integrations",Technical founder; real-time on-chain data infrastructure
41,Shyft,Team (API Infrastructure),https://shyft.to,contact@shyft.to,Solana APIs/gRPC,7,gRPC nodes and SuperIndexers for Solana,Strong DevEx focus; technical infrastructure team
42,DeBridge,Alex Smirnov (Co-founder),https://debridge.finance,contact@debridge.finance,Cross-chain Bridge,7,High-speed cross-chain transfers,Mathematician
43,Streamflow,Malisha (Founder),https://www.linkedin.com/company/streamflow-finance,hello@streamflow.finance,Token Vesting/Payroll,6,"Token distribution platform, official Solana docs listing",Technical founder; Jump Capital backed
44,Realms,Team (DAO Tooling),https://realms.today,contact@realms.today,DAO Governance,6,Official Solana DAO governance platform,SPL Governance; technical governance infrastructure
45,Tiplink,Team,https://tiplink.io,contact@tiplink.io,Payment Links,6,"Send crypto via links, no wallet needed",Technical team; simple UX infrastructure
