Name,Role,Company,Category,Twitter,LinkedIn,Background,Consumer_Appeal_Score,Technical_Depth_Score,Overall_Score,Story_Potential,Recent_Activity,Outreach_Notes
Jules Urbach,Founder & CEO,Render Network (OTOY),DePIN,N/A,N/A,"Pioneer in computer graphics since before NVIDIA partnership 2013. Conceived Render 2009.",9,10,9.5,"Metaverse rendering infrastructure. GPU economy pioneer. Jensen Huang stage partner.",Solana migration complete; RenderCon 2025 with Raj Gokal,"Legendary technical founder. Graphics industry icon."
Hardhat Chad (pseudonymous),Founder,Ore/Regolith Labs,Small Teams/Emerging,@HardhatChad,mysupercooltoken.com,"Created PoW mining on Solana. Won $50K Colosseum hackathon. Raised $3M from Foundation Capital.",8,9,8.5,"'Broke Solana' with mining protocol. Fair launch advocate. Bitcoin on Solana vision.",Ore V2 launch; $3M seed round Sept 2024; Staking mechanics,"Fascinating story - Pseudonymous builder who crashed Solana then won hackathon."
Meow (pseudonymous),Co-founder,Jupiter,Small Teams/Emerging,@weremeow,N/A,"Built 80%+ of Solana DEX routing. Pseudonymous. Community-first philosophy.",10,9,9.5,"From DEX aggregator to DeFi superapp. Acquired Moonshot and SonarWatch.",Catstanbul conference Jan 2025; Major acquisitions; $140M team allocation vote,"MAJOR - Powers most of Solana DeFi. Incredible growth story."
Siong Ong / Ben Chow,Co-founder,Jupiter,Small Teams/Emerging,N/A,N/A,"Technical co-founder working alongside Meow.",9,9,9,"Built Jupiter's routing engine.",Continued development,"Meow is primary spokesperson."
Alon Cohen (pseudonymous),Co-founder,Pump.fun,Small Teams/Emerging,N/A,N/A,"Co-founded viral memecoin factory. $317M+ revenue in 2024. Pseudonymous team.",10,8,9,"Built fastest-growing crypto app. 6M+ memecoins launched. 60%+ of Solana DEX volume.",PUMP token announcement July 2025; Continued dominance,"VIRAL - Defined 2024 memecoin culture. Massive impact."
FP Lee,Co-founder,Sanctum,Small Teams/Emerging,@soleconomist,N/A,"Deep Solana ecosystem experience. Created fpSOL personal LST. Singapore-based.",8,9,8.5,"Infinite LST vision. Creator coins experiment. Building SOL economy.",Personal LSTs launch Dec 2024; Sanctum Profiles V2; Sanctum Pay roadmap,"Innovative liquid staking. Strong technical vision."
Lucas Bruder,CEO & Co-founder,Jito Labs,Small Teams/Emerging,@Buffalu,N/A,"Built MEV infrastructure running on 27%+ of Solana stake. High-performance systems.",9,10,9.5,"JitoSOL massive airdrop. Block Assembly Marketplace. Core Solana infrastructure.",BAM (Block Assembly Marketplace) announcements; Continued stake growth,"Critical infrastructure. Major validator influence."
Zano Sherwani,CTO & Co-founder,Jito Labs,Small Teams/Emerging,N/A,N/A,"Technical co-founder. Built Stake Net protocol.",8,10,9,"High-performance MEV systems.",Stake Net development,"Lucas is primary spokesperson."
Cindy Leow,CEO & Co-founder,Drift Protocol,Small Teams/Emerging,N/A,N/A,"Female-led DeFi. $25M Series B. Goal: 'Robinhood of crypto'. Doubling team to 50.",9,9,9,"Survived Solana DeFi crash. Now largest perps DEX. 50x leverage. Prediction markets.",Series B Sept 2024; Web3 SuperApp vision; Swift Protocol launch,"Strong founder story - Female-led success in DeFi."
Marius Ciubotariu,Co-founder,Kamino Finance,Small Teams/Emerging,N/A,N/A,"Ex-exotic derivatives pricing (C++). Discovered Solana via Rust hackathon. Built from $10M to largest lending protocol.",9,10,9.5,"From $10M TVL to Solana's largest DEX. Fixed-rate lending with FalconX. Swap feature launch.",Six major product launches 2024; Breakpoint 2024 keynote; FalconX institutional partnership,"Technical excellence - Derivatives background applied to DeFi."
